Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
USMD HOSPITAL AT ARLINGTON L P,450872,TX,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
STAMFORD MEMORIAL HOSPITAL,450306,TX,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
UNIVERSITY MEDICAL CENTER NEW ORLEANS,190005,LA,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ROSELAND COMMUNITY HOSPITAL,140068,IL,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LORETTO HOSPITAL,140083,IL,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
OAKDALE COMMUNITY HOSPITAL,190106,LA,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
GOOD SAMARITAN HOSPITAL,50257,CA,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
RED LAKE HOSPITAL A,240206,MN,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
NOVANT HEALTH MEDICAL PARK HOSPITAL,340148,NC,READM-30-COPD-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
COVENANT HOSPITAL LEVELLAND,450755,TX,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
DOCTORS HOSPITAL LLC,170194,KS,READM-30-COPD-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HARMON HOSPITAL,290042,NV,READM-30-HF-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
TOPPENISH COMMUNITY HOSPITAL,500037,WA,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ONECORE HEALTH,370220,OK,READM-30-COPD-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET,270074,MT,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
WINNEBAGO IHS HOSPITAL,280119,NE,READM-30-HF-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CACHE VALLEY  HOSPITAL,460054,UT,READM-30-COPD-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAYLOR MEDICAL CENTER AT FRISCO,450853,TX,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HIRAM W DAVIS MEDICAL CENTER,490104,VA,READM-30-PN-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,50717,CA,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CONFLUENCE HEALTH- WENATCHEE VALLEY HOSP & CLINICS,500148,WA,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HARMON HOSPITAL,290042,NV,READM-30-COPD-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
METHODIST MCKINNEY HOSPITAL,670069,TX,READM-30-HF-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
JOHN H STROGER JR HOSPITAL,140124,IL,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
DOCTORS HOSPITAL LLC,170194,KS,READM-30-PN-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HEREFORD REGIONAL MEDICAL CENTER,450155,TX,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
TRUSTPOINT HOSPITAL,440231,TN,READM-30-PN-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HOUSTON COUNTY COMMUNITY HOSPITAL,440232,TN,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HOSPITAL OF UNIV OF PENNSYLVANIA,390111,PA,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HARLEM HOSPITAL CENTER,330240,NY,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
KAISER FOUNDATION HOSPITAL - FRESNO,50710,CA,READM-30-PN-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
"SOUTHWESTERN REGIONAL MEDICAL CENTER, INC",370190,OK,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HEALTHALLIANCE HOSPITAL BROADWAY CAMPUS,330004,NY,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,50714,CA,READM-30-PN-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LATIMER COUNTY GENERAL HOSPITAL,370072,OK,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
EVANSTON REGIONAL HOSPITAL,530032,WY,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
GEORGE L MEE MEMORIAL HOSPITAL,50189,CA,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SOUTHERN SURGICAL HOSPITAL,190270,LA,READM-30-PN-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LAMB HEALTHCARE CENTER,450698,TX,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
EAST TEXAS MEDICAL CENTER TRINITY,450749,TX,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MEDICAL CENTER AT ELIZABETH PLACE,360274,OH,READM-30-COPD-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MEMORIAL HOSPITAL & PHYSICIAN GROUP,370051,OK,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
JACKSON PARK HOSPITAL,140177,IL,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SELLS INDIAN HEALTH SERVICE HOSPITAL,30074,AZ,READM-30-COPD-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
COMMUNITY HOSPITAL OF LONG BEACH,50727,CA,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MONTEFIORE MOUNT VERNON HOSPITAL,330086,NY,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SOUTH SHORE HOSPITAL,140181,IL,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
FOREST HEALTH MEDICAL CENTER,230144,MI,READM-30-PN-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
GILBERT HOSPITAL,30120,AZ,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BOB WILSON MEMORIAL GRANT COUNTY HOSPITAL,170110,KS,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL AT SHERMA,670076,TX,READM-30-COPD-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
FAIRWAY MEDICAL CENTER,190267,LA,READM-30-PN-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
COFFEY COUNTY HOSPITAL,170094,KS,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
TEXAS SPINE AND JOINT HOSPITAL,450864,TX,READM-30-COPD-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
WAYNE MEDICAL CENTER,440010,TN,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CANCER TREATMENT CENTERS OF AMERICA,390312,PA,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MIRACLE MILE MEDICAL CENTER,50751,CA,READM-30-HF-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAYLOR SCOTT & WHITE MEDICAL CENTER - LLANO,450219,TX,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CRESCENT MEDICAL CENTER LANCASTER,670090,TX,READM-30-HF-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
KERN MEDICAL CENTER,50315,CA,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CITIZENS BAPTIST MEDICAL CENTER,10101,AL,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
THREE RIVERS MEDICAL CENTER,180128,KY,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAYLOR SURGICAL HOSPITAL AT LAS COLINAS,450874,TX,READM-30-PN-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SOUTH TEXAS SURGICAL HOSPITAL,670061,TX,READM-30-COPD-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ST ANTHONY SUMMIT MEDICAL CENTER,60118,CO,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BRISTOW MEDICAL CENTER,370041,OK,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SOUTH LYON MEDICAL CENTER,290002,NV,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
COLLEGE HOSPITAL COSTA MESA,50543,CA,READM-30-PN-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
THE HEALTHCENTER,270087,MT,READM-30-COPD-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
TAYLOR REGIONAL HOSPITAL,110135,GA,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MT EDGECUMBE HOSPITAL,20027,AK,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
"JEAY MEDICAL SERVICES, LLC",370169,OK,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ANAHEIM GLOBAL MEDICAL CENTER,50744,CA,READM-30-HIP-KNEE-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
YALOBUSHA GENERAL HOSPITAL,250061,MS,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LEVINDALE HEBREW GERIATRIC CENTER AND HOSPITAL,210064,MD,READM-30-PN-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HEBREW HOME AND HOSPITAL INC,70040,CT,READM-30-AMI-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,50717,CA,READM-30-COPD-HRRP,0.0,7.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
NORTH CAROLINA SPECIALTY HOSPITAL,340049,NC,READM-30-PN-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
OUR LADY OF THE ANGELS HOSPITAL,190312,LA,READM-30-PN-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
"COOK CHILDRENS NORTHEAST HOSPITAL, LLC",670045,TX,READM-30-COPD-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL AT SHERMA,670076,TX,READM-30-HF-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
PHILLIPS EYE INSTITUTE,240196,MN,READM-30-COPD-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
THREE GABLES SURGERY CENTER,360261,OH,READM-30-PN-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HOUSTON ORTHOPEDIC AND SPINE HOSPITAL,670012,TX,READM-30-COPD-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
INNOVA HOSPITAL SAN ANTONIO,670021,TX,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
NOVANT HEALTH HAYMARKET MEDICAL CENTER,490144,VA,READM-30-PN-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
IDAHO DOCTORS HOSPITAL,130067,ID,READM-30-PN-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
PHILLIPS EYE INSTITUTE,240196,MN,READM-30-PN-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SOUTH TEXAS SURGICAL HOSPITAL,670061,TX,READM-30-HF-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LINCOLN SURGICAL HOSPITAL,280127,NE,READM-30-COPD-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
JONES MEMORIAL HOSPITAL,330096,NY,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,670054,TX,READM-30-COPD-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
INSTITUTE FOR ORTHOPAEDIC SURGERY,360263,OH,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
COLLEGE HOSPITAL COSTA MESA,50543,CA,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SALINA SURGICAL HOSPITAL,170187,KS,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MANHATTAN SURGICAL HOSPITAL LLC,170190,KS,READM-30-HF-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
"KANSAS SPINE & SPECIALTY HOSPITAL, LLC",170196,KS,READM-30-PN-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
INSTITUTE FOR ORTHOPAEDIC SURGERY,360263,OH,READM-30-COPD-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
"BLUE VALLEY HOSPITAL, INC",170201,KS,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CLAIBORNE MEMORIAL MEDICAL CENTER,190114,LA,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAYLOR EMERGENCY MEDICAL CENTER,670062,TX,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
"NEBRASKA SPINE HOSPITAL, LLC",280133,NE,READM-30-COPD-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
LASALLE GENERAL HOSPITAL,190145,LA,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MASSACHUSETTS EYE AND EAR INFIRMARY,220075,MA,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
EMERUS HOSPITAL,670058,TX,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
STEPHENS MEMORIAL HOSPITAL,450498,TX,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
GREAT FALLS CLINIC MEDICAL CENTER,270086,MT,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HOUSTON ORTHOPEDIC AND SPINE HOSPITAL,670012,TX,READM-30-PN-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HOUSTON PHYSICIANS' HOSPITAL,670008,TX,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MAGNOLIA HOSPITAL,40067,AR,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MAYHILL HOSPITAL,670010,TX,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
EAST TEXAS MEDICAL CENTER - FAIRFIELD,450658,TX,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
TREASURE VALLEY HOSPITAL,130063,ID,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
"WOMANS HOSPITAL OF TEXAS,THE",450674,TX,READM-30-HF-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
JASPER GENERAL HOSPITAL,250018,MS,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SOUTH TEXAS SURGICAL HOSPITAL,670061,TX,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAYLOR EMERGENCY MEDICAL CENTER,670062,TX,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MONROE COMMUNITY HOSPITAL,330403,NY,READM-30-HF-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,40076,AR,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HOPEBRIDGE HOSPITAL,670072,TX,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
METHODIST HOSPITAL FOR SURGERY,670073,TX,READM-30-COPD-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,670054,TX,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,670054,TX,READM-30-PN-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
METHODIST HOSPITAL FOR SURGERY,670073,TX,READM-30-HF-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
WINIFRED MASTERSON BURKE REHABILITATION HOSPITAL,330404,NY,READM-30-COPD-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BOWIE MEMORIAL HOSPITAL,450497,TX,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
CLINTON HOSPITAL ASSOCIATION,220058,MA,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
MEMORIAL HOSPITAL,180043,KY,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAYLOR ORTHOPEDIC AND SPINE HOSPITAL AT ARLINGTON,670067,TX,READM-30-HF-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SPRINGHILL MEDICAL CENTER,190088,LA,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HELEN HAYES HOSPITAL,330405,NY,READM-30-HF-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HELEN HAYES HOSPITAL,330405,NY,READM-30-PN-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HOPEBRIDGE HOSPITAL,670072,TX,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
KNOX COUNTY HOSPITAL,450746,TX,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
COBLESKILL REGIONAL HOSPITAL,330268,NY,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
METHODIST MCKINNEY HOSPITAL,670069,TX,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON,670071,TX,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ALLEN PARISH HOSPITAL,190133,LA,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
SURGICAL INSTITUTE OF READING,390316,PA,READM-30-COPD-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
METHODIST HOSPITAL FOR SURGERY,670073,TX,READM-30-PN-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
TEXAS HEALTH HARRIS METHODIST HOSPITAL SOUTHLAKE,450888,TX,READM-30-COPD-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT,450889,TX,READM-30-COPD-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
TOPS SURGICAL SPECIALTY HOSPITAL,450774,TX,READM-30-COPD-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL AT SHERMA,670076,TX,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
PINE CREEK MEDICAL CENTER LLP,450894,TX,READM-30-HF-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
ADCARE HOSPITAL OF WORCESTER INC,220062,MA,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND,410010,RI,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
"OMEGA HOSPITAL, LLC",190302,LA,READM-30-HIP-KNEE-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
HOPEBRIDGE HOSPITAL,670072,TX,READM-30-COPD-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
THE SPINE HOSPITAL OF LOUISIANA,190266,LA,READM-30-AMI-HRRP,,5.0,,,,,2011-07-01T00:00:00Z,2014-06-30T00:00:00Z
